date,startTime,endTime,title,venue,room,address,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,description
2026-07-24,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,"LEGOs will stay at the library, so be sure to snap a pic of your creation!",Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab50483,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-07-25,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73bda,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-07-25,15:00,16:00,The Academy of Ballet and Etiquette Presents: Swan Lake,Rinconada Library,Embarcadero Room,"1213 Newell Rd., Palo Alto, CA 94303","0–2, 2–5, 5+",Social & Play; Other; Build & Explore,Free,Space is limited (50 seats) — check the official page for registration.,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69fd1345f89ee1580051535d,yes,"Join us at the Rinconada Library in the Embarcardero Room for a special summer ballet workshop from The Academy of Ballet and Etiquette ! Dance through Swan Lake, the story of Odette, a princess turned into a swan by an evil sorcerer's curse. The Academy of Ballet uses the stories of the great ballets to teach children steps, manners, and culture. This program is part of our 2026 Summer Reading Program: Oceans of Possibilities . Don't forget to sign up for the free program to earn badges and pri"
2026-07-26,11:00,11:30,Family Storytime,Rinconada Library,Children's Area,"1213 Newell Rd., Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6a0fb6a3e13d3b4603b50f78,yes,"Join Librarian Rebecca on Sunday mornings at 11:00AM for Family Storytime at Rinconada Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-07-26,15:00,16:00,Puppet Art Theater Presents: Tommy's Pirate Adventure,Mitchell Park Library,Kid's Place,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Music & Movement,Free,Space is limited (50 seats) — check the official page for registration.,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69fd15cb1773192800183afe,yes,"Join us at the Mitchell Park Library in the Kid's Place for a performance of Tommy's Pirate Adventure by Puppet Art Theater Co. Tommy’s and his dog Fifi are enjoying living on Alligator Island, at least until the pirates show up. Pirate’s X’s and mixed up treasure land Tommy and his dog in big trouble with Barnacle Billy and the evil Captain Rigatoni. Confusion and mayhem lead to fun as Tommy ends up playing pirates for real in “Tommy’s Pirate Adventure.” This program is part of our 2026 Summer "
2026-07-28,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301","0–2, 2–5, 5+",Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f60146724c63d00f52cc7,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-07-28,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,"LEGOs will stay at the library, so be sure to snap a pic of your creation!",Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d27171,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-07-29,10:30,11:00,Little Ones Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301","0–2, 2–5",Stories,Free,"This program is targeted to children under the age of two and their caregivers.
Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69265595a2f9562900e5f95c,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages. Storytime will be held inside when the garden is unavailable."
2026-07-29,18:30,19:15,Music & Movement,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/69a0b0f2b48451fc3c0563c8,yes,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance.

 Instruments, songs, and dance moves will all be introduced so that everyone will be able to enjoy moving along to the music.

 This program is meant for families with children and no previous experience is needed!"
2026-07-30,10:30,11:00,Bilingual Family Storytime,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638aa,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La"
2026-07-30,18:30,19:30,KDC: Kids Dance Carnival,Rinconada Library,Embarcadero Room,"1213 Newell Rd., Palo Alto, CA 94303","0–2, 2–5, 5+",Music & Movement,Free,"Check the official page for registration or capacity limits.
Costumes and accessories encouraged but not required.
Recommended age is 2-8 years old, but we won’t be checking ID and if you think your slightly older or younger kiddo would enjoy dancing in a room of other kids with flashing lights, then bring 'em along!",Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69e9504bb6c4ac1fedce1fe0,yes,"Join for KDC Palo Alto 2026! Come get moving and grooving at this kid-centered dance party. We'll be dancing with bubbles, jamming with glow sticks, and making a collaborative art piece. Come decked out in neon, sequins, glow-in-the-dark, kandi bracelets/necklaces, and colorful costumes. Bring your own light up and glow-in-the-dark accessories and dance the early evening away! There will be loud music and flashing lights. Please arrive on time. We will be monitoring room capacity. You may need t"
2026-07-31,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6931edd1b5ff4730005608f6,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
